cleaned_messages,MessageType
Hello!,Non-Flirt
<Media omitted>,Non-Flirt
Who's dis,Non-Flirt
,Non-Flirt
Lost all my contacts few weeks back,Non-Flirt
Yur name ?,Non-Flirt
,Non-Flirt
Solamaten,Non-Flirt
Find me if u can,Non-Flirt
,Non-Flirt
Chance less,Non-Flirt
Pls tell me,Non-Flirt
No way,Non-Flirt
Clue,Non-Flirt
I'm ur old frn,Non-Flirt
Best clue u ever get,Flirt
Poorna,Non-Flirt
He he nan oruthi dan old frn uh unaku,Non-Flirt
Anyways u r ryt,Non-Flirt
Eeee,Non-Flirt
Goiyak,Non-Flirt
How r yu,Non-Flirt
Ha ha fine priya,Flirt
U,Non-Flirt
Fyn,Non-Flirt
Wru,Non-Flirt
How's utsav kutty,Non-Flirt
Great,Flirt
Office la,Non-Flirt
Hum,Non-Flirt
1month ah enkitta mob illa,Non-Flirt
Y,Non-Flirt
Yaaroda contacts um illa,Non-Flirt
Achicho,Non-Flirt
Back up vechikalam la,Non-Flirt
Life epdi podhu,Non-Flirt
Pothu,Non-Flirt
<Media omitted>,Non-Flirt
,Non-Flirt
Hoi,Non-Flirt
Bc girl,Non-Flirt
Busy elam ila,Non-Flirt
U oly forgot me,Non-Flirt
Forgot,Non-Flirt
Che lusu,Non-Flirt
Pesala marandhutenu artham illa,Non-Flirt
Yu know how tight im,Non-Flirt
Free uh,Flirt
??,Non-Flirt
Podeeeengu gongango,Non-Flirt
Call panava,Non-Flirt
En cut panra,Non-Flirt
Happy wedding anniversary dr..!! Stay happy forever,Flirt
Convey wishes to mani anna too,Non-Flirt
Tq poorna,Non-Flirt
Sure,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Poornaaa,Non-Flirt
,Non-Flirt
Poorna,Non-Flirt
Naalaiku seekrama vandhru,Non-Flirt
Friends la unna mattum dha invite panren,Flirt
I'm n tanjore priya,Non-Flirt
Monday dan will come back to chennai,Non-Flirt
I'm really sry...,Non-Flirt
Enoda athimberuku nanga dan thithi kodukanum..,Non-Flirt
Nan inoru naal veetuki vanthu Wil meet utsav,Non-Flirt
Ohhhhh,Non-Flirt
Okey,Non-Flirt
Btw antha invitation was so cool..,Non-Flirt
Everyone was super good..,Flirt
Especially utsav smiling pic was so cute,Flirt
Don't get angry.. pls.. its unavoidable...,Non-Flirt
Its me calling,Non-Flirt
Pick the call,Non-Flirt
Calling from ma office number,Non-Flirt
Call,Non-Flirt
Missed voice call,Non-Flirt
Hi de,Non-Flirt
Sry priya.. Saturday I met with an minor accident,Non-Flirt
Unable to walk..,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Athan nerlaa vanthu kupda mudila,Non-Flirt
Lusu,Non-Flirt
Nalaiku text panren,Non-Flirt
Eruma,Non-Flirt
Ennaiki function re,Non-Flirt
Thursday,Non-Flirt
<Media omitted>,Non-Flirt
Pls consider this as ma personal invitation,Non-Flirt
Kandipa varanum,Non-Flirt
Amma kum whatsapp panren,Non-Flirt
Nerla varalam nu nenachen,Non-Flirt
But,Non-Flirt
I can't do it.m.,Non-Flirt
Anyway u must come with ur family okay,Non-Flirt
Sure de,Non-Flirt
Poorna,Non-Flirt
Kalambhi ready aayiten,Non-Flirt
Sudden ah UTSAV ku loosemotion aagudhu,Non-Flirt
Avanaiyum kootitu varalamnudha nanachen,Non-Flirt
Dhidirnu ipdi aayidichu,Non-Flirt
Sat vandha unna pakuren poorna,Non-Flirt
Enna nalamai purinjiko,Non-Flirt
Pls,Non-Flirt
K da,Non-Flirt
Tc,Non-Flirt
Hoi,Non-Flirt
Priya madam,Non-Flirt
Nyabagam iruka ena,Non-Flirt
Hey,Non-Flirt
Please wait,Non-Flirt
Veetuku poitu call panren,Non-Flirt
Hmmm,Non-Flirt
Busy ayitinga office poga start panathula irunthu,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Hello Ms.Priya,Non-Flirt
Epo golu ku varinga,Non-Flirt
Tomorrow poorna,Non-Flirt
Priya babe epo vara,Non-Flirt
Utsav ku fever da,Non-Flirt
Mamiyar kitta vittu office vandhruken,Non-Flirt
Office uh?,Non-Flirt
Sunday off ilaya,Non-Flirt
??,Non-Flirt
Intha vaatiyum varalaya,Non-Flirt
Po,Non-Flirt
En process eh Sunday to Thursday dha,Non-Flirt
90% I'll try poorna,Non-Flirt
MyCutebaby Photo Contest Vote for  Utsav Ravimanya  http://mycutebaby.in/contest/participant/?n=5a0571c90c076&utm_source=wsapp_share&utm_campaign=November_2017&utm_medium=shared&utm_term=wsapp_shared_5a0571c90c076&utm_content=participant,Non-Flirt
MyCutebaby Photo Contest Vote for  Utsav Ravimanya  http://mycutebaby.in/contest/participant/?n=5a0571c90c076&utm_source=wsapp_share&utm_campaign=November_2017&utm_medium=shared&utm_term=wsapp_shared_5a0571c90c076&utm_content=participant,Non-Flirt
Vote for my ROCK STAR guys,Non-Flirt
Vote for my ROCK STAR guys,Non-Flirt
Hey happy women's day deeeeeeeee,Flirt
,Non-Flirt
Same to u de,Non-Flirt
🤩,Non-Flirt
Hru de,Non-Flirt
Fyn,Non-Flirt
Great,Flirt
Happiest women in d woeld,Flirt
World,Non-Flirt
,Non-Flirt
so happy to listen that,Flirt
I wish u that happiness stay forver vth u de,Flirt
How rvyu,Non-Flirt
Yu,Non-Flirt
How's champ?,Non-Flirt
Aunty,Non-Flirt
I'm good.m,Non-Flirt
All r good,Non-Flirt
Theeverama enaku mappilai pakuranga ipo,Non-Flirt
Na wish pannenu sollu,Non-Flirt
Kandipa,Non-Flirt
Gudddddd,Non-Flirt
Nanum pakkata,Non-Flirt
To all the women at ur home too,Non-Flirt
Convey my wishes,Non-Flirt
Hum,Non-Flirt
,Non-Flirt
Officr?,Non-Flirt
Yeah,Non-Flirt
,Non-Flirt
Wait,Non-Flirt
No celeb at office?,Non-Flirt
Kandipa.. unaku ilatha urimai uh,Non-Flirt
How's he dng?,Non-Flirt
Rockstar is enjoying his life,Flirt
,Non-Flirt
Adutha release epo?,Non-Flirt
🤔🤫 wait n watch,Non-Flirt
Haha,Non-Flirt
Only after my marg,Non-Flirt
Then v both will try,Non-Flirt
Hey edhapathi solra,Non-Flirt
🤣🤣🤣,Non-Flirt
Chiiiiii🤣🤣🤣,Non-Flirt
Nee ena nenacha,Non-Flirt
Goiyale,Non-Flirt
,Non-Flirt
Ungaayaa,Non-Flirt
Hey one news,Non-Flirt
I bought car Nano,Non-Flirt
Jff,Non-Flirt
I saw babe.. Its awesome,Flirt
ndce,Non-Flirt
But unaku driving theriyuma,Non-Flirt
Kathukitten,Non-Flirt
Konjam touch vittupochu,Non-Flirt
Paara...very good development re,Non-Flirt
Again started,Non-Flirt
,Non-Flirt
Apo olunga car eduthutu veetuku vaa de,Non-Flirt
Epo dan vara pora nee,Non-Flirt
?,Non-Flirt
Varennnnnnnn,Non-Flirt
🤦‍una vechitu...,Non-Flirt
Hey keke ku kalyanam agiducha??,Non-Flirt
Kalyanam na unna koopdama irukamaaten,Non-Flirt
Ebgagement,Non-Flirt
Chumma veetodave,Non-Flirt
Avanga athai paiyan,Non-Flirt
Omg..,Non-Flirt
So soon,Non-Flirt
Wats her age,Non-Flirt
??,Non-Flirt
,Non-Flirt
Yeeeaaaa,Non-Flirt
2nd year,Non-Flirt
Not even 20,Non-Flirt
Evlavo solli paathachu,Non-Flirt
Yes,Non-Flirt
Evlavo panchayathu panniyachu,Non-Flirt
Situation apdi Saudi hu,Non-Flirt
Na apram full story. Solren,Non-Flirt
Hmmm,Non-Flirt
She is gng saudi uh? After marg,Non-Flirt
Adhu iva vishayathula yaarkum illa,Non-Flirt
Saudi illa,Non-Flirt
Solren,Non-Flirt
Avaluku eduthu soli puriya veinga..,Non-Flirt
Ok ok,Flirt
Haha,Non-Flirt
Enga veetla yaarukume indha age la chinna paonnuku pabradhuku. Virupamae illa,Non-Flirt
Vidhi,Non-Flirt
Sikkikitta,Non-Flirt
I'll tell yu about dis later,Non-Flirt
Wru,Non-Flirt
K k de,Non-Flirt
Wru,Non-Flirt
Iniku dan engagement uh,Non-Flirt
??,Non-Flirt
Illa. Nethu,Non-Flirt
Wru nw,Non-Flirt
Velachery,Non-Flirt
Anni inga keeootitu. Vandhrukom,Non-Flirt
Anga ena de panra?,Non-Flirt
Anni paaka vandhen,Non-Flirt
Avanga 5 months,Non-Flirt
Oh delivery ku amma veetla irukangala,Non-Flirt
Ivlo seekeerama poitanga,Non-Flirt
Hey 10 days ku inga kootitu vandhu vechirkom,Non-Flirt
3months avanga amma veetladha. Irubdhanga,Non-Flirt
Oh oh..,Non-Flirt
Elarayum parka po,Non-Flirt
Ena parka matum varatha,Non-Flirt
,Non-Flirt
Hate u..,Non-Flirt
Hey,Non-Flirt
Poorna,Non-Flirt
Mathavangala paakamattumdha poren,Non-Flirt
Puthu kathaiuh solu,Non-Flirt
But unna eppodhum nanachittedha irupen,Non-Flirt
Unaku adhu therila purila,Non-Flirt
Ipdi soliye ena yemathu,Non-Flirt
En mela promise,Non-Flirt
Idha unmai,Non-Flirt
Nambalana thittiko,Non-Flirt
Pae,Non-Flirt
Podi,Non-Flirt
Saptiya,Non-Flirt
Utsav kutty enga irukan,Non-Flirt
Over,Non-Flirt
En madiladha thoonguran,Non-Flirt
Oru amma mathiriya iruka.. paavam avan..,Non-Flirt
Veyil uh anga inga nu avana kutitu suthu,Non-Flirt
Haha,Non-Flirt
Amma kita vitu vaadi.. avan jolly uh vilayaduvan,Flirt
Jolly ah irukom,Flirt
Unkuda boring dan,Non-Flirt
,Non-Flirt
Unmaya solu nee avnkuda vilayaduviya ila amma appa va,Non-Flirt
Rendumae dha,Non-Flirt
Bhudhu,Non-Flirt
Vilaiyadumbodhu vilaiyaduvdn,Non-Flirt
Amma va irukumbodhu konjuven thittuven,Non-Flirt
Mathavangala maadhiri baby porandhadhum aunty aaguradhula enaku ilpudikkadhu,Non-Flirt
Ha ha,Flirt
Good good,Flirt
Chuma kalaichen de,Non-Flirt
Enga veetukum kutitu vaa avana...,Non-Flirt
Hum,Non-Flirt
Inga oru aunty irukanu solu,Non-Flirt
How's mani anna,Non-Flirt
Innoru dhadava. Nee mattum va avana vendamnu solluva,Non-Flirt
He's too gud,Non-Flirt
Paiyan na apdi dan settai seiyanum.. I'll neva say no to him..,Non-Flirt
Anna va ketatha solu,Non-Flirt
,Non-Flirt
Happy bornday pooooooooor,Flirt
Luv you loooot,Non-Flirt
Hey,Non-Flirt
Same pinch deeeeeeeeee,Non-Flirt
,Non-Flirt
Thanks de,Non-Flirt
Hoi,Non-Flirt
Congrats for 1yr,Flirt
Keep rocking,Non-Flirt
🤪🤩,Non-Flirt
Tq,Non-Flirt
,Non-Flirt
How's u,Non-Flirt
Wow,Flirt
Happy friendship day poorna,Flirt
,Non-Flirt
Love u always priya,Flirt
Wish u happy frnshp day dr,Flirt
Bday,Non-Flirt
??,Non-Flirt
Yes,Non-Flirt
Wow wish him behalf of me,Flirt
Sua,Non-Flirt
Congrats athai,Flirt
Thank yu,Non-Flirt
Enga veetuku epo de vara pora,Non-Flirt
Hoi,Non-Flirt
Der?,Non-Flirt
Send yur home address de pooooooooor,Non-Flirt
Inniku ne veetladhana irupa,Non-Flirt
Yes yes vaa vaa,Flirt
Address solluma,Non-Flirt
Na cab la vandha varalam...,Non-Flirt
This is for can address,Non-Flirt
*cab,Non-Flirt
If u r cmg on ur own,Non-Flirt
House number,Non-Flirt
?,Non-Flirt
Any landmark de,Non-Flirt
?,Non-Flirt
Water tank pakathula Dan de veedu,Non-Flirt
Wru,Non-Flirt
Started,Non-Flirt
On d way,Non-Flirt
,Non-Flirt
Reached uh de,Non-Flirt
Adipaavi,Non-Flirt
Reached by 9 here,Non-Flirt
I'm soooo happy,Flirt
Amma sema thittu de,Non-Flirt
,Non-Flirt
Sapdama anupchitenu,Non-Flirt
En...,Non-Flirt
Yes,Non-Flirt
Evlo naal parkatiyum,Non-Flirt
U remain close to me de,Non-Flirt
,Non-Flirt
Frn of ma life,Non-Flirt
as always,Non-Flirt
Dad likes anna de,Non-Flirt
Hummmm,Non-Flirt
Nalla paiyan nu enkita sonaru,Non-Flirt
,Non-Flirt
Avara ellarum apdidha solluvanga,Non-Flirt
,Non-Flirt
Ipdiye epayum iru,Non-Flirt
One of ma fav childhood toy,Non-Flirt
Haha,Non-Flirt
Dp la barani Anna papa va,Non-Flirt
Yes,Non-Flirt
Poooooe,Non-Flirt
Pooooor,Non-Flirt
Porandhu 3 hours la edutha pic,Non-Flirt
Ippo,Non-Flirt
<Media omitted>,Non-Flirt
Wow grown too fast,Flirt
Poorna,Non-Flirt
One help,Non-Flirt
Family Oru periya prechana poitruku,Non-Flirt
Ennala explain panna mudiyadhadhu... Nerla pathadha sollakudadhu...,Non-Flirt
FSL - First source limited company la unaku yaarachu theriyuma please understand friends yaarkittayachu kelu ....,Flirt
I'll check dr,Non-Flirt
Don't wprry,Non-Flirt
I ve asked my frns,Non-Flirt
I'll let u know if I get Any update,Non-Flirt
Not for job poorna,Non-Flirt
But anga enaku nit shift pakravanga yaarachu theriyanum,Non-Flirt
FSL - Navalur,Non-Flirt
Ena aachu priya,Non-Flirt
Ethachum prob uh,Non-Flirt
Poorns,Non-Flirt
Poorna,Non-Flirt
Yaardho num tharanu sonna,Non-Flirt
Yes de,Non-Flirt
Solu,Non-Flirt
Iladi,Non-Flirt
,Non-Flirt
Avanga frn request eh inum accept panalayam,Non-Flirt
Oh,Non-Flirt
Still msg panirukanga,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Ivanga kita dan ketkalamnh,Non-Flirt
Ok,Non-Flirt
Avanga reply pananangana will let u kno,Non-Flirt
Happy bday to hero stay blessed,Flirt
Thank you poooor,Non-Flirt
<Media omitted>,Non-Flirt
Beautiful pic,Flirt
,Non-Flirt
Poorna,Non-Flirt
Der,Non-Flirt
Hi de,Non-Flirt
Solu,Non-Flirt
Hyatt recent ah poordhala,Non-Flirt
Yes,Non-Flirt
Per head evlo,Non-Flirt
Dinner,Non-Flirt
Veg,Non-Flirt
1700,Non-Flirt
Plus tax,Non-Flirt
Ok ok,Flirt
Totally comes around 1850 de for veg,Non-Flirt
En mamiyar ah kootitu Polamnu,Non-Flirt
Nv therioa,Non-Flirt
?,Non-Flirt
*therila,Non-Flirt
Non veg ku evlo therila,Non-Flirt
Hum...,Non-Flirt
I went to teynampet branch,Non-Flirt
This charge differs to every location,Non-Flirt
Ella branch layum same rate dhana,Non-Flirt
Oh,Non-Flirt
No no,Non-Flirt
Ok,Non-Flirt
Guindy Elam very costly comparatively,Non-Flirt
Oru idea ku dha ketten,Non-Flirt
Naa ponathu dan irukarthulaye cheap,Non-Flirt
Oh k k,Non-Flirt
Hum,Non-Flirt
Nalla Vela sonna,Non-Flirt
